
EMPRESA NACIONAL DE MINERIA (ENM) PRODUCTOR          PACKING LIST                             PAG.  :   1
NATIONAL MINING COMPANY                       CODIGO DE LOTE   : E-2836                      FECHA :12/06/2019
                                              -----------------------------
FLUJO        : 
DESCRIPCION  : CATODOS EW CERRO NEGRO
N° INSTR. DE EMBARQUE : 25344
CLIENTE      : OCTAVIA                                 
Lote Sipa    : 19050238

----------------------------------------------------------------------------------------------------------------------------- 
MARCA       DESCRIPCION         PESO NETO      PESO BRUTO     GRUPO     UNIDADES       UBICACION         SERIE                
-----------------------------------------------------------------------------------------------------------------------------

02NE    DOS FRANJAS NEGRAS        1,993           1,994                    32                           E-2836 
02NE    DOS FRANJAS NEGRAS        2,014           2,015                    32                           E-2837 
02NE    DOS FRANJAS NEGRAS        2,044           2,045                    33                           E-2838 
02NE    DOS FRANJAS NEGRAS        2,011           2,012                    32                           E-2839 
02NE    DOS FRANJAS NEGRAS        2,024           2,025                    32                           E-2840 
02NE    DOS FRANJAS NEGRAS        1,990           1,991                    32                           E-2841 
02NE    DOS FRANJAS NEGRAS        2,019           2,020                    32                           E-2842 
02NE    DOS FRANJAS NEGRAS        1,937           1,938                    32                           E-2843 
02NE    DOS FRANJAS NEGRAS        1,979           1,980                    33                           E-2844 
02NE    DOS FRANJAS NEGRAS        1,998           1,999                    32                           E-2845 
02NE    DOS FRANJAS NEGRAS        2,031           2,032                    32                           E-2846 
02NE    DOS FRANJAS NEGRAS        1,997           1,998                    33                           E-2847 
02NE    DOS FRANJAS NEGRAS        2,033           2,034                    32                           E-2848 
02NE    DOS FRANJAS NEGRAS        1,964           1,965                    30                           E-2849 
02NE    DOS FRANJAS NEGRAS        2,043           2,044                    33                           E-2850 
02NE    DOS FRANJAS NEGRAS        1,956           1,957                    30                           E-2868 
02NE    DOS FRANJAS NEGRAS        2,013           2,014                    31                           E-2869 
02NE    DOS FRANJAS NEGRAS        1,911           1,912                    30                           E-2870 
02NE    DOS FRANJAS NEGRAS        2,040           2,041                    31                           E-2871 
02NE    DOS FRANJAS NEGRAS        2,042           2,043                    29                           E-2872 
02NE    DOS FRANJAS NEGRAS        2,011           2,012                    31                           E-2873 
02NE    DOS FRANJAS NEGRAS        2,008           2,009                    31                           E-2874 
02NE    DOS FRANJAS NEGRAS        2,033           2,034                    32                           E-2875 
02NE    DOS FRANJAS NEGRAS        1,974           1,975                    30                           E-2876 
02NE    DOS FRANJAS NEGRAS        2,017           2,018                    33                           E-2877 
02NE    DOS FRANJAS NEGRAS        1,932           1,933                    30                           E-2878 
02NE    DOS FRANJAS NEGRAS        2,003           2,004                    31                           E-2879 
02NE    DOS FRANJAS NEGRAS        2,006           2,007                    31                           E-2880 
02NE    DOS FRANJAS NEGRAS        2,002           2,003                    32                           E-2881 
02NE    DOS FRANJAS NEGRAS        2,017           2,018                    30                           E-2882 


------------------------------------------------------------------------------------------------------------------------
T.SUB-LOTES              TOT.PAQUETES =30      TOT.UNID. = 944   T/P NETO (kg) = 60,042      T/P BRUTO (kg) = 60,072
------------------------------------------------------------------------------------------------------------------------
