
EMPRESA NACIONAL DE MINERIA (ENM) PRODUCTOR          PACKING LIST                             PAG.  :   1
NATIONAL MINING COMPANY                       CODIGO DE LOTE   : E-12975                      FECHA :02/06/2020
                                              -----------------------------
FLUJO        : 
DESCRIPCION  : CATODOS GRADO A
N° INSTR. DE EMBARQUE : 25958
CLIENTE      : ANTOFAGASTA EXPRESS
Lote Sipa    : 

----------------------------------------------------------------------------------------------------------------------------- 
MARCA       DESCRIPCION         PESO NETO      PESO BRUTO     GRUPO     UNIDADES       UBICACION         SERIE                
-----------------------------------------------------------------------------------------------------------------------------

03AM    TRES FRANJAS AMARILLAS    2,353           2,354         05         20                           E-12975
03AM    TRES FRANJAS AMARILLAS    2,385           2,386         05         20                           E-12976
03AM    TRES FRANJAS AMARILLAS    2,390           2,391         39         20                           E-12977
03AM    TRES FRANJAS AMARILLAS    2,437           2,438         39         20                           E-12978
03AM    TRES FRANJAS AMARILLAS    2,415           2,416         05         20                           E-12979
03AM    TRES FRANJAS AMARILLAS    2,527           2,528         05         20                           E-12980
03AM    TRES FRANJAS AMARILLAS    2,515           2,516         43         20                           E-12981
03AM    TRES FRANJAS AMARILLAS    2,520           2,521         43         20                           E-12982
03AM    TRES FRANJAS AMARILLAS    2,537           2,538         43         20                           E-12983
03AM    TRES FRANJAS AMARILLAS    1,999           2,000         43         20                           E-12984
03AM    TRES FRANJAS AMARILLAS    2,173           2,174         05         20                           E-12985
03AM    TRES FRANJAS AMARILLAS    2,419           2,420         20         20                           E-12986
03AM    TRES FRANJAS AMARILLAS    2,413           2,414         05         20                           E-12987
03AM    TRES FRANJAS AMARILLAS    2,571           2,572         20         20                           E-12988
03AM    TRES FRANJAS AMARILLAS    2,051           2,052         39         20                           E-12989
03AM    TRES FRANJAS AMARILLAS    2,410           2,411         05         20                           E-12990
03AM    TRES FRANJAS AMARILLAS    2,306           2,307         20         20                           E-12991
03AM    TRES FRANJAS AMARILLAS    2,471           2,472         20         20                           E-12992
03AM    TRES FRANJAS AMARILLAS    2,346           2,347         05         20                           E-12993
03AM    TRES FRANJAS AMARILLAS    2,385           2,386         20         20                           E-12994
03AM    TRES FRANJAS AMARILLAS    2,357           2,358         20         20                           E-12995


------------------------------------------------------------------------------------------------------------------------
T.SUB-LOTES              TOT.PAQUETES =21      TOT.UNID. = 420   T/P NETO (kg) = 49,980      T/P BRUTO (kg) = 50,001
------------------------------------------------------------------------------------------------------------------------
