
EMPRESA NACIONAL DE MINERIA (ENM) PRODUCTOR          PACKING LIST                             PAG.  :   1
NATIONAL MINING COMPANY                       CODIGO DE LOTE   : E-7463                      FECHA :15/05/2023
                                              -----------------------------
FLUJO        : 
DESCRIPCION  : CATODOS GRADO A
N° INSTR. DE EMBARQUE : 64400
CLIENTE      : 
Lote Sipa    : 

----------------------------------------------------------------------------------------------------------------------------- 
MARCA       DESCRIPCION         PESO NETO      PESO BRUTO     GRUPO     UNIDADES       UBICACION         SERIE                
-----------------------------------------------------------------------------------------------------------------------------

X1CE    EQUIS FRANJA CELESTE      2,011           2,012         49         24                           E-7463 
X1CE    EQUIS FRANJA CELESTE      1,991           1,992         49         24                           E-7464 
X1CE    EQUIS FRANJA CELESTE      2,029           2,030         49         24                           E-7465 
X1CE    EQUIS FRANJA CELESTE      1,949           1,950         49         24                           E-7466 
X1CE    EQUIS FRANJA CELESTE      1,909           1,910         49         24                           E-7467 
X1CE    EQUIS FRANJA CELESTE      2,118           2,119         49         24                           E-7468 
X1CE    EQUIS FRANJA CELESTE      2,063           2,064         49         24                           E-7469 
X1CE    EQUIS FRANJA CELESTE      2,167           2,168         49         24                           E-7470 
X1CE    EQUIS FRANJA CELESTE      2,001           2,002         49         24                           E-7471 
X1CE    EQUIS FRANJA CELESTE      2,228           2,229         49         24                           E-7472 
X1CE    EQUIS FRANJA CELESTE      2,387           2,388         49         24                           E-7473 
X1CE    EQUIS FRANJA CELESTE      1,986           1,987         49         24                           E-7474 
X1CE    EQUIS FRANJA CELESTE      2,011           2,012         49         24                           E-7475 
X1CE    EQUIS FRANJA CELESTE      2,323           2,324         49         24                           E-7476 
X1CE    EQUIS FRANJA CELESTE      1,969           1,970         49         24                           E-7477 
X1CE    EQUIS FRANJA CELESTE      2,136           2,137         49         24                           E-7478 
X1CE    EQUIS FRANJA CELESTE      2,029           2,030         49         24                           E-7479 
X1CE    EQUIS FRANJA CELESTE      2,069           2,070         49         24                           E-7480 
X1CE    EQUIS FRANJA CELESTE      2,187           2,188         49         24                           E-7481 
X1CE    EQUIS FRANJA CELESTE      2,215           2,216         49         24                           E-7482 
X1CE    EQUIS FRANJA CELESTE      2,257           2,258         49         24                           E-7483 
X1CE    EQUIS FRANJA CELESTE      2,013           2,014         49         24                           E-7484 
X1CE    EQUIS FRANJA CELESTE      2,143           2,144         49         24                           E-7485 
X1CE    EQUIS FRANJA CELESTE      2,111           2,112         49         24                           E-7486 


------------------------------------------------------------------------------------------------------------------------
T.SUB-LOTES              TOT.PAQUETES =24      TOT.UNID. = 576   T/P NETO (kg) = 50,302      T/P BRUTO (kg) = 50,326
------------------------------------------------------------------------------------------------------------------------
