
EMPRESA NACIONAL DE MINERIA (ENM) PRODUCTOR          PACKING LIST                             PAG.  :   1
NATIONAL MINING COMPANY                       CODIGO DE LOTE   : E-2351                      FECHA :07/06/2023
                                              -----------------------------
FLUJO        : 
DESCRIPCION  : CATODOS EW DELTA
N° INSTR. DE EMBARQUE : 27980
CLIENTE      : MAERSK SARAT
Lote Sipa    : 23050285

----------------------------------------------------------------------------------------------------------------------------- 
MARCA       DESCRIPCION         PESO NETO      PESO BRUTO     GRUPO     UNIDADES       UBICACION         SERIE                
-----------------------------------------------------------------------------------------------------------------------------

01BL    FRANJA BLANCA             2,018           2,019                    42                           E-2351 
01BL    FRANJA BLANCA             1,991           1,992                    43                           E-2352 
01BL    FRANJA BLANCA             2,009           2,010                    39                           E-2353 
01BL    FRANJA BLANCA             1,996           1,997                    40                           E-2354 
01BL    FRANJA BLANCA             2,010           2,011                    46                           E-2355 
01BL    FRANJA BLANCA             2,010           2,011                    61                           E-2356 
01BL    FRANJA BLANCA             2,006           2,007                    54                           E-2357 
01BL    FRANJA BLANCA             1,995           1,996                    41                           E-2358 
01BL    FRANJA BLANCA             2,001           2,002                    53                           E-2359 
01BL    FRANJA BLANCA             1,974           1,975                    52                           E-2360 
01BL    FRANJA BLANCA             1,984           1,985                    49                           E-2361 
01BL    FRANJA BLANCA             2,005           2,006                    56                           E-2362 
01BL    FRANJA BLANCA             2,029           2,030                    56                           E-2363 
01BL    FRANJA BLANCA             1,998           1,999                    50                           E-2364 
01BL    FRANJA BLANCA             1,994           1,995                    54                           E-2366 
01BL    FRANJA BLANCA             1,990           1,991                    54                           E-2367 
01BL    FRANJA BLANCA             1,996           1,997                    55                           E-2368 
01BL    FRANJA BLANCA             2,003           2,004                    50                           E-2369 
01BL    FRANJA BLANCA             2,019           2,020                    54                           E-2370 
01BL    FRANJA BLANCA             2,013           2,014                    52                           E-2371 
01BL    FRANJA BLANCA             2,009           2,010                    54                           E-2372 
01BL    FRANJA BLANCA             1,998           1,999                    50                           E-2373 
01BL    FRANJA BLANCA             1,984           1,985                    54                           E-2374 
01BL    FRANJA BLANCA             1,988           1,989                    53                           E-2375 
01BL    FRANJA BLANCA             1,981           1,982                    49                           E-2376 
01BL    FRANJA BLANCA             2,011           2,012                    54                           E-2377 
01BL    FRANJA BLANCA             2,019           2,020                    54                           E-2378 
01BL    FRANJA BLANCA             2,003           2,004                    55                           E-2379 
01BL    FRANJA BLANCA             2,001           2,002                    57                           E-2381 
01BL    FRANJA BLANCA             2,005           2,006                    53                           E-2382 
01BL    FRANJA BLANCA             2,003           2,004                    49                           E-2383 
01BL    FRANJA BLANCA             2,009           2,010                    57                           E-2384 
01BL    FRANJA BLANCA             2,005           2,006                    53                           E-2385 
01BL    FRANJA BLANCA             2,013           2,014                    49                           E-2386 
01BL    FRANJA BLANCA             1,999           2,000                    50                           E-2387 
01BL    FRANJA BLANCA             1,992           1,993                    49                           E-2388 
01BL    FRANJA BLANCA             2,009           2,010                    53                           E-2389 
01BL    FRANJA BLANCA             1,997           1,998                    53                           E-2390 
01BL    FRANJA BLANCA             2,012           2,013                    52                           E-2391 
01BL    FRANJA BLANCA             1,998           1,999                    57                           E-2392 
01BL    FRANJA BLANCA             1,996           1,997                    53                           E-2393 
01BL    FRANJA BLANCA             2,000           2,001                    50                           E-2394 


------------------------------------------------------------------------------------------------------------------------
T.SUB-LOTES              TOT.PAQUETES =42      TOT.UNID. = 2159   T/P NETO (kg) = 84,073      T/P BRUTO (kg) = 84,115
------------------------------------------------------------------------------------------------------------------------
