
EMPRESA NACIONAL DE MINERIA (ENM) PRODUCTOR          PACKING LIST                             PAG.  :   1
NATIONAL MINING COMPANY                       CODIGO DE LOTE   : E-2884                      FECHA :08/07/2019
                                              -----------------------------
FLUJO        : 
DESCRIPCION  : CATODOS EW CERRO NEGRO
N° INSTR. DE EMBARQUE : 25394
CLIENTE      : DALI
Lote Sipa    : 19050344

----------------------------------------------------------------------------------------------------------------------------- 
MARCA       DESCRIPCION         PESO NETO      PESO BRUTO     GRUPO     UNIDADES       UBICACION         SERIE                
-----------------------------------------------------------------------------------------------------------------------------

02NE    DOS FRANJAS NEGRAS        1,995           1,996                    32                           E-2884 
02NE    DOS FRANJAS NEGRAS        2,009           2,010                    30                           E-2885 
02NE    DOS FRANJAS NEGRAS        1,938           1,939                    30                           E-2886 
02NE    DOS FRANJAS NEGRAS        1,994           1,995                    30                           E-2887 
02NE    DOS FRANJAS NEGRAS        1,951           1,952                    30                           E-2888 
02NE    DOS FRANJAS NEGRAS        2,050           2,051                    30                           E-2889 
02NE    DOS FRANJAS NEGRAS        1,973           1,974                    30                           E-2890 
02NE    DOS FRANJAS NEGRAS        2,004           2,005                    31                           E-2891 
02NE    DOS FRANJAS NEGRAS        1,983           1,984                    30                           E-2892 
02NE    DOS FRANJAS NEGRAS        2,025           2,026                    31                           E-2893 
02NE    DOS FRANJAS NEGRAS        2,018           2,019                    31                           E-2894 
02NE    DOS FRANJAS NEGRAS        2,108           2,109                    32                           E-2895 
02NE    DOS FRANJAS NEGRAS        2,039           2,040                    32                           E-2896 
02NE    DOS FRANJAS NEGRAS        1,989           1,990                    30                           E-2897 
02NE    DOS FRANJAS NEGRAS        1,959           1,960                    30                           E-2898 
02NE    DOS FRANJAS NEGRAS        2,005           2,006                    35                           E-2932 
02NE    DOS FRANJAS NEGRAS        1,970           1,971                    31                           E-2933 
02NE    DOS FRANJAS NEGRAS        1,996           1,997                    33                           E-2934 
02NE    DOS FRANJAS NEGRAS        1,992           1,993                    34                           E-2935 
02NE    DOS FRANJAS NEGRAS        2,021           2,022                    34                           E-2936 
02NE    DOS FRANJAS NEGRAS        2,001           2,002                    31                           E-2937 
02NE    DOS FRANJAS NEGRAS        2,017           2,018                    32                           E-2938 
02NE    DOS FRANJAS NEGRAS        1,969           1,970                    36                           E-2939 
02NE    DOS FRANJAS NEGRAS        2,027           2,028                    31                           E-2940 
02NE    DOS FRANJAS NEGRAS        2,009           2,010                    39                           E-2941 
02NE    DOS FRANJAS NEGRAS        2,014           2,015                    35                           E-2942 
02NE    DOS FRANJAS NEGRAS        1,998           1,999                    33                           E-2943 
02NE    DOS FRANJAS NEGRAS        2,074           2,075                    33                           E-2944 
02NE    DOS FRANJAS NEGRAS        1,962           1,963                    33                           E-2945 
02NE    DOS FRANJAS NEGRAS        1,968           1,969                    32                           E-2946 


------------------------------------------------------------------------------------------------------------------------
T.SUB-LOTES              TOT.PAQUETES =30      TOT.UNID. = 961   T/P NETO (kg) = 60,058      T/P BRUTO (kg) = 60,088
------------------------------------------------------------------------------------------------------------------------
