
EMPRESA NACIONAL DE MINERIA (ENM) PRODUCTOR          PACKING LIST                             PAG.  :   1
NATIONAL MINING COMPANY                       CODIGO DE LOTE   : E-1770                      FECHA :25/06/2019
                                              -----------------------------
FLUJO        : 
DESCRIPCION  : CATODOS EW EL SALADO
N° INSTR. DE EMBARQUE : 25350
CLIENTE      : COCESA                                  
Lote Sipa    : 19050441

----------------------------------------------------------------------------------------------------------------------------- 
MARCA       DESCRIPCION         PESO NETO      PESO BRUTO     GRUPO     UNIDADES       UBICACION         SERIE                
-----------------------------------------------------------------------------------------------------------------------------

01RJ    FRANJA ROJA               1,976           1,977                    86                           E-1770 
01RJ    FRANJA ROJA               1,963           1,964                    102                          E-1771 
01RJ    FRANJA ROJA               2,019           2,020                    100                          E-1772 
01RJ    FRANJA ROJA               1,969           1,970                    106                          E-1773 
01RJ    FRANJA ROJA               2,026           2,027                    66                           E-1774 
01RJ    FRANJA ROJA               2,038           2,039                    80                           E-1775 
01RJ    FRANJA ROJA               1,991           1,992                    64                           E-1776 
01RJ    FRANJA ROJA               2,036           2,037                    81                           E-1777 
01RJ    FRANJA ROJA               2,028           2,029                    96                           E-1778 
01RJ    FRANJA ROJA               2,050           2,051                    83                           E-1779 
01RJ    FRANJA ROJA               2,048           2,049                    93                           E-1780 
01RJ    FRANJA ROJA               2,030           2,031                    85                           E-1781 
01RJ    FRANJA ROJA               2,026           2,027                    91                           E-1782 
01RJ    FRANJA ROJA               2,032           2,033                    89                           E-1783 
01RJ    FRANJA ROJA               2,043           2,044                    98                           E-1850 
01RJ    FRANJA ROJA               1,984           1,985                    92                           E-1851 
01RJ    FRANJA ROJA               1,958           1,959                    93                           E-1852 
01RJ    FRANJA ROJA               1,989           1,990                    88                           E-1853 
01RJ    FRANJA ROJA               2,025           2,026                    86                           E-1854 
01RJ    FRANJA ROJA               2,024           2,025                    88                           E-1855 
01RJ    FRANJA ROJA               2,008           2,009                    88                           E-1856 
01RJ    FRANJA ROJA               2,024           2,025                    82                           E-1857 
01RJ    FRANJA ROJA               2,023           2,024                    79                           E-1858 
01RJ    FRANJA ROJA               2,028           2,029                    92                           E-1859 
01RJ    FRANJA ROJA               2,039           2,040                    84                           E-1860 
01RJ    FRANJA ROJA               1,986           1,987                    88                           E-1861 
01RJ    FRANJA ROJA               2,038           2,039                    90                           E-1862 
01RJ    FRANJA ROJA               1,999           2,000                    98                           E-1863 
01RJ    FRANJA ROJA               2,049           2,050                    102                          E-1865 
01RJ    FRANJA ROJA               1,994           1,995                    89                           E-1866 
01RJ    FRANJA ROJA               2,013           2,014                    104                          E-1867 
01RJ    FRANJA ROJA               2,037           2,038                    92                           E-1868 
01RJ    FRANJA ROJA               1,978           1,979                    92                           E-1869 
01RJ    FRANJA ROJA               2,029           2,030                    81                           E-1870 
01RJ    FRANJA ROJA               1,987           1,988                    91                           E-1871 
01RJ    FRANJA ROJA               2,053           2,054                    91                           E-1872 
01RJ    FRANJA ROJA               2,036           2,037                    91                           E-1873 
01RJ    FRANJA ROJA               2,046           2,047                    96                           E-1874 
01RJ    FRANJA ROJA               2,035           2,036                    100                          E-1875 
01RJ    FRANJA ROJA               2,059           2,060                    94                           E-1876 
01RJ    FRANJA ROJA               2,033           2,034                    92                           E-1877 
01RJ    FRANJA ROJA               1,969           1,970                    87                           E-1878 


------------------------------------------------------------------------------------------------------------------------
T.SUB-LOTES              TOT.PAQUETES =42      TOT.UNID. = 3770   T/P NETO (kg) = 84,718      T/P BRUTO (kg) = 84,760
------------------------------------------------------------------------------------------------------------------------
