;01-02-2002;2;2;MINERALES COBRE VARIOS CLIENTE;20957;8758;12147;57
;01-02-2002;2;3;CONCENTRADO COBRE V.CLIENTES;2661109;688388;501112;10682
;01-02-2002;2;4;PRECIPITADO COBRE VARIOS CLIEN;503762;382730;0;0
;01-02-2002;2;5;CONCENTRADO PLATA VARIOS CLIEN;0;0;0;0
;01-02-2002;2;6;PRODUCCION DE ACIDO SULFURICO;7597860;0;0;0
;01-02-2002;2;7;EMBARQUE ACIDO SULFURICO;28931260;0;0;0
;01-02-2002;2;8;EMBARQUE ACIDO K-4;0;0;0;0
;01-02-2002;2;9;FUNDENTES CALCAREOS;0;0;0;0
;01-02-2002;2;10;PRESTAMO DISPUTADA/OXIQUIM;1756680;0;0;0
;01-02-2002;2;11;MINERALES ORO VARIOS CLIENTES;14178;39;1171;842
;01-02-2002;2;12;MINERALES PLATA VARIOS CLIENTE;0;0;0;0
;01-02-2002;2;13;DEVOLUCION DISPUTADA/OXIQUIM;0;0;0;0
;01-02-2002;2;14;CONCENTRADO COBRE ANDINA MAQUI;0;0;0;0
;01-02-2002;2;15;FUNDENTES SILICEOS;2185930;0;0;0
;01-02-2002;2;16;CONCENTRADO COBRE CENIZAS;3289670;919260;294010;15025
;01-02-2002;2;19;CONC. COBRE CENIZAS A FUND.;690681;191469;10991;3271
;01-02-2002;2;22;POLVO ELECT. P. ACIDO;78181;7964;9090;336
;01-02-2002;2;23;RESIDUO MOLDEO ANODOS RAF;0;0;0;0
;01-02-2002;2;24;CARGA NUEVA UTIL A FUNDICION;8117456;2411086;436145;19454
;01-02-2002;2;25;FUNDENTE CALCAREO A FUND.;0;0;0;0
;01-02-2002;2;26;POLVO CALDERA A FUNDICION;0;0;0;0
;01-02-2002;2;27;POLVO CONVERTIDOR A FUNDICION;11530;4480;1115;68
;01-02-2002;2;28;CIRCULANTES FUNDICION A FUND.;3744487;1673465;423370;16603
;01-02-2002;2;30;CIRCULANTE FUSION;0;0;0;0
;01-02-2002;2;32;CIRCULANTE FUSION A FUNDICION;0;0;0;0
;01-02-2002;2;36;CONCENTRADO ORO A EMBARQUE;0;0;0;0
;01-02-2002;2;37;CONC. COBRE PELAMBRE A FUND.;502120;212346;28862;968
;01-02-2002;2;40;BLISTER TOTAL;2724943;2690342;384047;28740
;01-02-2002;2;41;REFRACTARIOS Y REACTIVOS;455210;0;0;0
;01-02-2002;2;44;CONCENTRADO COBRE PELAMBRE;1869228;760984;137699;3401
;01-02-2002;2;45;AJUSTE POR DIFERENCIA DE LEYES;0;0;0;0
;01-02-2002;2;46;CATODOS DESC. NORMAL A EMB.;11622;11621;93;1
;01-02-2002;2;49;AJUSTE COBRE BAJO PISO;0;0;0;0
;01-02-2002;2;50;COBRE BAJO PISO;0;0;0;0
;01-02-2002;2;51;POLVOS CALDERA;0;0;0;0
;01-02-2002;2;54;ESCORIA FUNDICION A BOTADERO;5727688;56210;12308;0
;01-02-2002;2;65;FUNDENTE SILICEO A FUND.;599285;0;0;0
;01-02-2002;2;68;MINERALES PLATA V.C. A FUND.;0;0;0;0
;01-02-2002;2;71;BLISTER REFIMET A RAF;0;0;0;0
;01-02-2002;2;72;GRANZAS A FUNDICION;0;0;0;0
;01-02-2002;2;73;CONCENTRADO ORO VARIOS CLIENTE;745914;50616;119384;45448
;01-02-2002;2;74;BLISTER V.C. A RAF;70;59;2042;535
;01-02-2002;2;75;BARRO ANODICO CRUDO;44970;10548;4698220;255648
;01-02-2002;2;76;BLISTER REFIMET;0;0;0;0
;01-02-2002;2;77;BLISTER REFIMET A FUND.;0;0;0;0
;01-02-2002;2;85;CIRCULANTE CPS/C.TTE;2767902;1335005;448949;9530
;01-02-2002;2;86;POLVOS CPS/C.TTE;222047;83041;24616;1231
;01-02-2002;2;87;BLISTER VARIOS;0;0;0;0
;01-02-2002;2;88;BLISTER V.C. A FUND.;0;0;0;0
;01-02-2002;2;89;REFRACTARIOS Y REACTIVOS;668463;0;0;0
;01-02-2002;2;91;ANODOS CTE. RECHAZ.DEVOLUCION;0;0;0;0
;01-02-2002;2;92;ANODOS CORRIENTES H.ANODOS;7329547;7299760;1427749;84609
;01-02-2002;2;93;ANODOS CORRIENTE H.BASC.;531423;529244;153956;5547
;01-02-2002;2;94;MOLDES ANODOS RAF;86225;85875;28433;1246
;01-02-2002;2;95;ANODOS ESPECIALES H.ANODO;0;0;0;0
;01-02-2002;2;96;COBRE ANODICO CIRCULANTE RAF;800825;723695;379846;25395
;01-02-2002;2;97;ESCORIA ANODICA RAF;686271;222294;22426;1184
;01-02-2002;2;98;PERDIDA METALURGICA RAF;10521;6175;629;54
;01-02-2002;2;99;ANODOS ESPECIALES H.BASC.;0;0;0;0
;01-02-2002;2;100;BLISTER H.VIDELA LIRA;0;0;0;0
;01-02-2002;2;101;BLISTER TENIENTE _ CODELCO;82010;81944;0;0
;01-02-2002;2;102;PRECIPITADOS COBRE V.C. A FUND;0;0;0;0
;01-02-2002;2;103;RESIDUAL MOLDEO ANODOS A RAF;0;0;0;0
;01-02-2002;2;104;BLISTER CODELCO CHUQUI;0;0;0;0
;01-02-2002;2;105;ESCORIA ANODOCA A CU ANODICO;81649;54301;5109;188
;01-02-2002;2;106;AJUSTE DE FINOS (+);0;0;0;0
;01-02-2002;2;107;AJUSTE DE FINOS (-);0;0;0;0
;01-02-2002;2;109;MOLDES ANODOS A FUNDICION;0;0;0;0
;01-02-2002;2;110;ESCORIA ANODICA A EMBARQUE;0;0;0;0
;01-02-2002;2;111;CONCENTRADO COBRE V. CENTRAL;2318074;670562;143750;0
;01-02-2002;2;116;CARGA SOLIDA TERCERO A RAF;224896;224110;37818;1127
;01-02-2002;2;118;MOLDES ANODOS A RAF;92854;92512;30802;1426
;01-02-2002;2;119;CONC. COBRE V.CENTRAL A FUND.;674920;192716;37076;0
;01-02-2002;2;120;COBRE ANODICO CIRCUL. A RAF;828791;781790;343017;25767
;01-02-2002;2;121;CIRCULANTES RAF A RAF;1370182;1321105;502759;32882
;01-02-2002;2;122;AJUSTE AGENCIA (+);0;0;0;0
;01-02-2002;2;123;RESTOS ANODOS CORRI. HVL A RAF;820252;816593;266790;27299
;01-02-2002;2;124;AJUSTE AGENCIA (-);0;0;0;0
;01-02-2002;2;125;DESPUNTES Y LAMINAS A RAF;1842;1842;14;0
;01-02-2002;2;126;CATODOS DESC. NORMAL A RAF;0;0;0;0
;01-02-2002;2;127;CIRCULANTES N.E. A RAF;6354479;6324526;1631181;72354
;01-02-2002;2;128;MOLDES DE ANODOS A EMBARQUE;0;0;0;0
;01-02-2002;2;129;ANODO HOJAS MADRES H.ANODOS;2162321;2153572;567898;26020
;01-02-2002;2;130;BLISTER H.VIDELA LIRA A RAF;0;0;0;0
;01-02-2002;2;131;ANODO HOJAS MADRES H.BASC.;81614;81279;24216;857
;01-02-2002;2;132;OTROS PRODUCTOS H.V.L.;0;0;0;0
;01-02-2002;2;133;RESTOS ANODOS ESPEC. HVL A RAF;0;0;0;0
;01-02-2002;2;134;RESTOS ANODOS CHAGRES;812891;810581;167377;1234
;01-02-2002;2;135;AJUSTE BENEFICIO CAT. E.W.;0;0;0;0
;01-02-2002;2;136;COBRE SUCIO H.VIDELA L. A RAF;0;0;0;0
;01-02-2002;2;137;ANODOS CHAGRES;3334380;3324926;588510;4577
;01-02-2002;2;138;ANODOS ESPECIALES H.V.L.;0;0;0;0
;01-02-2002;2;139;ESCORIA ANODICA LIQ A FUND.;29631;12184;1395;50
;01-02-2002;2;140;PRECIPITADO COBRE V.C.A R.ELEC;0;0;0;0
;01-02-2002;2;141;COBRE ANODICO CIRCUL. A FUND.;102951;41374;4854;175
;01-02-2002;2;142;ANODOS CORRIENTES H.V.L.;3884950;3867990;1149975;113651
;01-02-2002;2;143;ANODOS ESPECIALES A N.E.;0;0;0;0
;01-02-2002;2;144;OTROS PRODUCTOS H.V.L. A FUND.;0;0;0;0
;01-02-2002;2;145;ANODOS ESPEC. RECHAZADOS A RAF;0;0;0;0
;01-02-2002;2;146;RESTOS ANODOS CHAGRES A RAF;668619;666716;117777;982
;01-02-2002;2;147;PRECIPITADO COBRE V.C. A RAF;124878;96795;0;0
;01-02-2002;2;148;ANODOS CORRIENTES A N.E.;12625359;12576974;2939087;144642
;01-02-2002;2;149;ANODOS HOJAS MADRES A N.E.;1808495;1801261;467140;22634
;01-02-2002;2;150;BLISTER H.V.L. A FUND.;0;0;0;0
