01-09-2002;2;2;MINERALES COBRE VARIOS CLIENTE;17259;3165;6076;749
01-09-2002;2;3;CONCENTRADO COBRE V.CLIENTES;2729060;739084;475986;11005
01-09-2002;2;4;PRECIPITADO COBRE VARIOS CLIEN;647767;496738;0;0
01-09-2002;2;5;CONCENTRADO PLATA VARIOS CLIEN;0;0;0;0
01-09-2002;2;6;PRODUCCION DE ACIDO SULFURICO;30002400;0;0;0
01-09-2002;2;7;EMBARQUE ACIDO SULFURICO;34024690;0;0;0
01-09-2002;2;8;EMBARQUE ACIDO K-4;0;0;0;0
01-09-2002;2;9;FUNDENTES CALCAREOS;189370;0;0;0
01-09-2002;2;10;PRESTAMO DISPUTADA/OXIQUIM;1392900;0;0;0
01-09-2002;2;11;MINERALES ORO VARIOS CLIENTES;4970;0;0;885
01-09-2002;2;12;MINERALES PLATA VARIOS CLIENTE;0;0;0;0
01-09-2002;2;13;DEVOLUCION DISPUTADA/OXIQUIM;0;0;0;0
01-09-2002;2;14;CONCENTRADO COBRE ANDINA MAQUI;13809936;3968754;987430;8077
01-09-2002;2;15;FUNDENTES SILICEOS;3214027;0;0;0
01-09-2002;2;16;CONCENTRADO COBRE CENIZAS;3297626;865579;279647;16726
01-09-2002;2;19;CONC. COBRE CENIZAS A FUND.;2938775;759781;250416;16322
01-09-2002;2;22;POLVO ELECT. P. ACIDO;216016;31159;31915;334
01-09-2002;2;23;RESIDUO MOLDEO ANODOS RAF;0;0;0;0
01-09-2002;2;24;CARGA NUEVA UTIL A FUNDICION;34788062;10736963;2450004;61936
01-09-2002;2;25;FUNDENTE CALCAREO A FUND.;0;0;0;0
01-09-2002;2;26;POLVO CALDERA A FUNDICION;0;0;0;0
01-09-2002;2;27;POLVO CONVERTIDOR A FUNDICION;138391;73444;17336;404
01-09-2002;2;28;CIRCULANTES FUNDICION A FUND.;9976895;5178316;949515;39078
01-09-2002;2;30;CIRCULANTE FUSION;0;0;0;0
01-09-2002;2;32;CIRCULANTE FUSION A FUNDICION;0;0;0;0
01-09-2002;2;36;CONCENTRADO ORO A EMBARQUE;0;0;0;0
01-09-2002;2;37;CONC. COBRE PELAMBRE A FUND.;1303499;511181;54079;1160
01-09-2002;2;40;BLISTER TOTAL;10812970;10603814;1882175;88238
01-09-2002;2;41;REFRACTARIOS Y REACTIVOS;0;0;0;0
01-09-2002;2;44;CONCENTRADO COBRE PELAMBRE;1165753;496665;44598;962
01-09-2002;2;45;AJUSTE POR DIFERENCIA DE LEYES;0;0;0;0
01-09-2002;2;46;CATODOS DESC. NORMAL A EMB.;199311;199291;1576;9
01-09-2002;2;49;AJUSTE COBRE BAJO PISO;0;0;0;0
01-09-2002;2;50;COBRE BAJO PISO;0;0;0;0
01-09-2002;2;51;POLVOS CALDERA;0;0;0;0
01-09-2002;2;54;ESCORIA FUNDICION A BOTADERO;20806867;182048;180658;281
01-09-2002;2;65;FUNDENTE SILICEO A FUND.;2932218;0;0;0
01-09-2002;2;68;MINERALES PLATA V.C. A FUND.;0;0;0;0
01-09-2002;2;71;BLISTER REFIMET A RAF;0;0;0;0
01-09-2002;2;72;GRANZAS A FUNDICION;110485;40166;19684;531
01-09-2002;2;73;CONCENTRADO ORO VARIOS CLIENTE;714592;43095;132053;40009
01-09-2002;2;74;BLISTER V.C. A RAF;0;0;0;0
01-09-2002;2;75;BARRO ANODICO CRUDO;47722;16284;4974532;169668
01-09-2002;2;76;BLISTER REFIMET;0;0;0;0
01-09-2002;2;77;BLISTER REFIMET A FUND.;0;0;0;0
01-09-2002;2;78;BLISTER V.C. A PLAMEN;0;0;0;0
01-09-2002;2;85;CIRCULANTE CPS/C.TTE;6415247;3497124;938381;6189
01-09-2002;2;86;POLVOS CPS/C.TTE;74691;41372;7913;191
01-09-2002;2;87;BLISTER VARIOS;146;104;2849;1593
01-09-2002;2;88;BLISTER V.C. A FUND.;0;0;0;0
01-09-2002;2;89;REFRACTARIOS Y REACTIVOS;2418045;0;0;0
01-09-2002;2;91;ANODOS CTE. RECHAZ.DEVOLUCION;0;0;0;0
01-09-2002;2;92;ANODOS CORRIENTES H.ANODOS;12107946;12061350;2055402;77398
01-09-2002;2;93;ANODOS CORRIENTE H.BASC.;6058655;6033520;1256138;42279
01-09-2002;2;94;MOLDES ANODOS RAF;121983;121501;24659;652
01-09-2002;2;95;ANODOS ESPECIALES H.ANODO;0;0;0;0
01-09-2002;2;96;COBRE ANODICO CIRCULANTE RAF;1463781;1363960;484211;57651
01-09-2002;2;97;ESCORIA ANODICA RAF;783276;670832;171137;1605
01-09-2002;2;98;PERDIDA METALURGICA RAF;11438;7088;759;69
01-09-2002;2;99;ANODOS ESPECIALES H.BASC.;0;0;0;0
01-09-2002;2;100;BLISTER H.VIDELA LIRA;0;0;0;0
01-09-2002;2;101;BLISTER TENIENTE _ CODELCO;1566420;1561967;172546;1582
01-09-2002;2;102;PRECIPITADOS COBRE V.C. A FUND;1246709;974372;0;0
01-09-2002;2;103;RESIDUAL MOLDEO ANODOS A RAF;0;0;0;0
01-09-2002;2;104;BLISTER CODELCO CHUQUI;0;0;0;0
01-09-2002;2;105;ESCORIA ANODOCA A CU ANODICO;0;0;0;0
01-09-2002;2;106;AJUSTE DE FINOS (+);0;0;0;0
01-09-2002;2;107;AJUSTE DE FINOS (-);0;0;0;0
01-09-2002;2;109;MOLDES ANODOS A FUNDICION;0;0;0;0
01-09-2002;2;110;ESCORIA ANODICA A EMBARQUE;0;0;0;0
01-09-2002;2;111;CONCENTRADO COBRE V. CENTRAL;3479940;1039861;180542;0
01-09-2002;2;116;CARGA SOLIDA TERCERO A RAF;2833093;2824169;404764;3203
01-09-2002;2;118;MOLDES ANODOS A RAF;132350;131850;31442;1045
01-09-2002;2;119;CONC. COBRE V.CENTRAL A FUND.;2910069;878364;166671;0
01-09-2002;2;120;COBRE ANODICO CIRCUL. A RAF;1400483;1311349;508699;65212
01-09-2002;2;121;CIRCULANTES RAF A RAF;2381707;2288750;735500;70640
01-09-2002;2;122;AJUSTE AGENCIA (+);0;0;0;0
01-09-2002;2;123;RESTOS ANODOS CORRI. HVL A RAF;514022;512032;134705;10192
01-09-2002;2;124;AJUSTE AGENCIA (-);0;0;0;0
01-09-2002;2;125;DESPUNTES Y LAMINAS A RAF;860;860;7;0
01-09-2002;2;126;CATODOS DESC. NORMAL A RAF;0;0;0;0
01-09-2002;2;127;CIRCULANTES N.E. A RAF;5890625;5868693;1293742;26595
01-09-2002;2;128;MOLDES DE ANODOS A EMBARQUE;0;0;0;0
01-09-2002;2;129;ANODO HOJAS MADRES H.ANODOS;1519873;1514133;313770;8702
01-09-2002;2;130;BLISTER H.VIDELA LIRA A RAF;0;0;0;0
01-09-2002;2;131;ANODO HOJAS MADRES H.BASC.;773266;770056;176741;4766
01-09-2002;2;132;OTROS PRODUCTOS H.V.L.;0;0;0;0
01-09-2002;2;133;RESTOS ANODOS ESPEC. HVL A RAF;0;0;0;0
01-09-2002;2;134;RESTOS ANODOS CHAGRES;748478;746119;153643;999
01-09-2002;2;135;AJUSTE BENEFICIO CAT. E.W.;0;0;0;0
01-09-2002;2;136;COBRE SUCIO H.VIDELA L. A RAF;0;0;0;0
01-09-2002;2;137;ANODOS CHAGRES;3268640;3257830;558437;3320
01-09-2002;2;138;ANODOS ESPECIALES H.V.L.;0;0;0;0
01-09-2002;2;139;ESCORIA ANODICA LIQ A FUND.;287735;176836;24766;666
01-09-2002;2;140;PRECIPITADO COBRE V.C.A R.ELEC;0;0;0;0
01-09-2002;2;141;COBRE ANODICO CIRCUL. A FUND.;128282;115818;59430;2891
01-09-2002;2;142;ANODOS CORRIENTES H.V.L.;2367170;2358829;615386;65849
01-09-2002;2;143;ANODOS ESPECIALES A N.E.;0;0;0;0
01-09-2002;2;144;OTROS PRODUCTOS H.V.L. A FUND.;0;0;0;0
01-09-2002;2;145;ANODOS ESPEC. RECHAZADOS A RAF;0;0;0;0
01-09-2002;2;146;RESTOS ANODOS CHAGRES A RAF;707562;705337;139653;987
